,VenueId,VenueName,VenueLatitude,VenueLongitude,CategoryId,VenueAddress,City,HierarchyLevel,CategoryName,Level1,Level2,Level3,Level4,Level5,MeshBlockCode,CityCode,StateCode,State,LgaCode,LgaName,Key,LgaGroup,VenueCount,EgmCount,TotalNgr,TotalNgrPerAdult,MachinesPer1000Adult,AvgNgrPerMachine,AggregateNgrPerLgaStr,AverageNgrPerVenueStr,TotalNgrPerAdultStr,AvgNgrPerMachineStr,RankTotalNgr,RankTotalNgrPerAdult,RankEgmsPer1000Adult,RankAvgNgrPerMachine,Address,PostalCode,Latitude,Longitude,People,MedianAge,HouseholdIncome,Dwellings
30,4e2bd981a809f1b164147160,MovieWorld,-34.842069,138.721635,4bf58dd8d48988d1f1931735,"1 Kinnaird Cres, Highbury SA 5089, Australia",Highbury,2,General Entertainment,Arts & Entertainment,General Entertainment,,,,40184360000,40581,4,South Australia,47700,Tea Tree Gully (C),7.0,"Campbelltown (C), Tea Tree Gully (C)",12.0,438.0,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5.0,27.0,42.0,1.0,"Highbury SA 5089, Australia",5089,-34.854,138.697,6588.0,42,"1,705","2,334"
31,4d3ec4706b3d236aa8617564,Haran's Crib,-34.89772256,138.66345662,4bf58dd8d48988d1f1931735,"23A Davies Ave, Tranmere SA 5073, Australia",Tranmere,2,General Entertainment,Arts & Entertainment,General Entertainment,,,,40027202000,41455,4,South Australia,40910,Campbelltown (C),7.0,"Campbelltown (C), Tea Tree Gully (C)",12.0,438.0,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5.0,27.0,42.0,1.0,"Tranmere SA 5073, Australia",5073,-34.905,138.662,3757.0,39,"1,425","1,433"
34,4eb4732de30006eb11b455b9,Tea Tree Gully Christmas Pagent,-34.83262634277344,138.69972229003906,4bf58dd8d48988d1f1931735,"6A Grove St, Modbury SA 5092, Australia",Modbury,2,General Entertainment,Arts & Entertainment,General Entertainment,,,,40188841000,40891,4,South Australia,47700,Tea Tree Gully (C),7.0,"Campbelltown (C), Tea Tree Gully (C)",12.0,438.0,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5.0,27.0,42.0,1.0,"Modbury SA 5092, Australia",5092,-34.833333,138.683333,5244.0,37,"1,084","2,047"
59,4d3a4dc6979ea143eb268ffc,Lakic's,-34.81345,138.69655,4bf58dd8d48988d1f1931735,"14 Maughan Ave, Redwood Park SA 5097, Australia",Redwood Park,2,General Entertainment,Arts & Entertainment,General Entertainment,,,,40181350000,41229,4,South Australia,47700,Tea Tree Gully (C),7.0,"Campbelltown (C), Tea Tree Gully (C)",12.0,438.0,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5.0,27.0,42.0,1.0,"Redwood Park SA 5097, Australia",5097,-34.812524,138.706595,5417.0,39,"1,537","1,958"
61,4d2adc9c77a2a1cd390678b7,ICA,-34.82220330414474,138.6830149932564,4bf58dd8d48988d1f1931735,"42 Famechon Cres, Modbury North SA 5092, Australia",Modbury North,2,General Entertainment,Arts & Entertainment,General Entertainment,,,,40180970000,40893,4,South Australia,47700,Tea Tree Gully (C),7.0,"Campbelltown (C), Tea Tree Gully (C)",12.0,438.0,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5.0,27.0,42.0,1.0,"Modbury North SA 5092, Australia",5092,-34.829,138.672,5626.0,39,"1,385","2,049"
62,4fe5471be4b050ddde1da0b6,Gem show,-34.822696685791016,138.72705078125,4bf58dd8d48988d1f1931735,"8 Nicholas Dr, Tea Tree Gully SA 5091, Australia",Tea Tree Gully,2,General Entertainment,Arts & Entertainment,General Entertainment,,,,40184060000,41418,4,South Australia,47700,Tea Tree Gully (C),7.0,"Campbelltown (C), Tea Tree Gully (C)",12.0,438.0,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5.0,27.0,42.0,1.0,"Tea Tree Gully SA 5091, Australia",5091,-34.826,138.726,3244.0,43,"1,389","1,260"
63,4deb33edb0fb8293f7e9b01e,Jubilee Community Center,-34.80495822071891,138.6940724471207,4bf58dd8d48988d1f1931735,"1 Jubilee Way, Wynn Vale SA 5127, Australia",Wynn Vale,2,General Entertainment,Arts & Entertainment,General Entertainment,,,,40185510000,41648,4,South Australia,47700,Tea Tree Gully (C),7.0,"Campbelltown (C), Tea Tree Gully (C)",12.0,438.0,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5.0,27.0,42.0,1.0,"Wynn Vale SA 5127, Australia",5127,-34.802,138.69,7756.0,41,"1,490","2,947"
64,4c4e85b4f53d0f479b32ada6,Bubbles Play Cafe,-34.79232538158636,138.69169799639147,4bf58dd8d48988d1f1931735,"9 Helicon Dr, Golden Grove SA 5125, Australia",Golden Grove,2,General Entertainment,Arts & Entertainment,General Entertainment,,,,40184101000,40511,4,South Australia,47700,Tea Tree Gully (C),7.0,"Campbelltown (C), Tea Tree Gully (C)",12.0,438.0,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5.0,27.0,42.0,1.0,"Golden Grove SA 5125, Australia",5125,-34.7838889,138.7061111,10237.0,42,"1,519","3,763"
74,4fdb176de4b0fb17898ee6a4,Legends Rock n Roll Club,-34.89689636230469,138.6619415283203,4bf58dd8d48988d1e9931735,"36A Mayfield Ave, Hectorville SA 5073, Australia",Hectorville,3,Rock Club,Arts & Entertainment,Music Venue,Rock Club,,,40027190000,40576,4,South Australia,40910,Campbelltown (C),7.0,"Campbelltown (C), Tea Tree Gully (C)",12.0,438.0,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5.0,27.0,42.0,1.0,"Hectorville SA 5073, Australia",5073,-34.8929224,138.6652086,3738.0,40,"1,043","1,554"
75,4f5ee77be4b06f48bf2ae12c,Dr D's Rehearsal Room,-34.87241470388955,138.67149444854206,4bf58dd8d48988d1e9931735,"696 Lower North East Rd, Paradise SA 5075, Australia",Paradise,3,Rock Club,Arts & Entertainment,Music Venue,Rock Club,,,40023650000,41090,4,South Australia,40910,Campbelltown (C),7.0,"Campbelltown (C), Tea Tree Gully (C)",12.0,438.0,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5.0,27.0,42.0,1.0,"Paradise SA 5075, Australia",5075,-34.872,138.676,6776.0,43,"1,192","2,582"
87,4de8c1ff1f6e9b537713e361,Scalex World Raceway,-34.825181,138.699235,4bf58dd8d48988d1f4931735,"1/40 Dewer Ave, Ridgehaven SA 5097, Australia",Ridgehaven,2,Racetrack,Arts & Entertainment,Racetrack,,,,40180990000,41244,4,South Australia,47700,Tea Tree Gully (C),7.0,"Campbelltown (C), Tea Tree Gully (C)",12.0,438.0,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5.0,27.0,42.0,1.0,"Ridgehaven SA 5097, Australia",5097,-34.822,138.704,4008.0,42,"1,112","1,660"
113,4e90301cf79014e2ce68c6da,Gangers Club Rooms,-34.84585952758789,138.70880126953125,4bf58dd8d48988d1e8931735,"8 Lagonik Dr, Hope Valley SA 5090, Australia",Hope Valley,3,Piano Bar,Arts & Entertainment,Music Venue,Piano Bar,,,40188900000,40601,4,South Australia,47700,Tea Tree Gully (C),7.0,"Campbelltown (C), Tea Tree Gully (C)",12.0,438.0,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5.0,27.0,42.0,1.0,"Hope Valley SA 5090, Australia",5090,-34.843,138.702,7887.0,47,"1,081","3,120"
127,51d6458b498ef7bd0848880a,Gallery 1855,-34.82143082232587,138.7245714022826,4bf58dd8d48988d1e2931735,"1324 North East Road, Tea Tree Gully SA 5091, Australia",Tea Tree Gully,2,Art Gallery,Arts & Entertainment,Art Gallery,,,,40184060000,41418,4,South Australia,47700,Tea Tree Gully (C),7.0,"Campbelltown (C), Tea Tree Gully (C)",12.0,438.0,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5.0,27.0,42.0,1.0,"Tea Tree Gully SA 5091, Australia",5091,-34.826,138.726,3244.0,43,"1,389","1,260"
129,4deaa9741f6e3ddebdd2fd0a,Bowling Paradise,-34.88316,138.652718,4bf58dd8d48988d1e4931735,"44 James St, Campbelltown SA 5074, Australia",Campbelltown,2,Bowling Alley,Arts & Entertainment,Bowling Alley,,,,40027041000,40211,4,South Australia,40910,Campbelltown (C),7.0,"Campbelltown (C), Tea Tree Gully (C)",12.0,438.0,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5.0,27.0,42.0,1.0,"Campbelltown SA 5074, Australia",5074,-34.878,138.663,8152.0,41,"1,040","3,221"
131,4dece58918386283a4221c8f,Bowl Bowl Bowl!,-34.883157,138.652718,4bf58dd8d48988d1e4931735,"44 James St, Campbelltown SA 5074, Australia",Campbelltown,2,Bowling Alley,Arts & Entertainment,Bowling Alley,,,,40027041000,40211,4,South Australia,40910,Campbelltown (C),7.0,"Campbelltown (C), Tea Tree Gully (C)",12.0,438.0,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5.0,27.0,42.0,1.0,"Campbelltown SA 5074, Australia",5074,-34.878,138.663,8152.0,41,"1,040","3,221"
132,4deaa9231f6e3ddebdd2f3a9,Strike!,-34.88316,138.652718,4bf58dd8d48988d1e4931735,"44 James St, Campbelltown SA 5074, Australia",Campbelltown,2,Bowling Alley,Arts & Entertainment,Bowling Alley,,,,40027041000,40211,4,South Australia,40910,Campbelltown (C),7.0,"Campbelltown (C), Tea Tree Gully (C)",12.0,438.0,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5.0,27.0,42.0,1.0,"Campbelltown SA 5074, Australia",5074,-34.878,138.663,8152.0,41,"1,040","3,221"
136,4cdd0b21958f236a7917b603,AMF Village,-34.79209738569838,138.69276915081215,4bf58dd8d48988d1e4931735,"Lot 1035 Helicon Dr, Golden Grove SA 5125, Australia",Golden Grove,2,Bowling Alley,Arts & Entertainment,Bowling Alley,,,,40184101000,40511,4,South Australia,47700,Tea Tree Gully (C),7.0,"Campbelltown (C), Tea Tree Gully (C)",12.0,438.0,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5.0,27.0,42.0,1.0,"Golden Grove SA 5125, Australia",5125,-34.7838889,138.7061111,10237.0,42,"1,519","3,763"
137,58022458d67c249eaf420701,Jason's Carpet Bowls,-34.795337223397325,138.72227449697635,4bf58dd8d48988d1e4931735,"22 Vicenzo St, Fairview Park SA 5126, Australia",Fairview Park,2,Bowling Alley,Arts & Entertainment,Bowling Alley,,,,40184140000,40424,4,South Australia,47700,Tea Tree Gully (C),7.0,"Campbelltown (C), Tea Tree Gully (C)",12.0,438.0,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5.0,27.0,42.0,1.0,"Fairview Park SA 5126, Australia",5126,-34.7999009,138.7316925,3600.0,40,"1,525","1,319"
139,4e2b77b5ae605c533a38e6ab,MeakinCity,-34.833807,138.721371,4bf58dd8d48988d18e941735,"32 Janlyn Rd, Vista SA 5091, Australia",Vista,2,Comedy Club,Arts & Entertainment,Comedy Club,,,,40184240000,41492,4,South Australia,47700,Tea Tree Gully (C),7.0,"Campbelltown (C), Tea Tree Gully (C)",12.0,438.0,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5.0,27.0,42.0,1.0,"Vista SA 5091, Australia",5091,-34.8349569,138.7304374,971.0,44,"1,448",367
