,MeshBlockCode,LgaCode,LgaName
167,40001630000,40070,Adelaide (C)
168,40001640000,40070,Adelaide (C)
169,40001650000,40070,Adelaide (C)
170,40001660000,40070,Adelaide (C)
171,40001670000,40070,Adelaide (C)
172,40001680000,40070,Adelaide (C)
173,40001700000,40070,Adelaide (C)
174,40001710000,40070,Adelaide (C)
175,40001731000,40070,Adelaide (C)
176,40001732000,40070,Adelaide (C)
177,40001733000,40070,Adelaide (C)
178,40001740000,40070,Adelaide (C)
179,40001751000,40070,Adelaide (C)
180,40001752000,40070,Adelaide (C)
181,40001760000,40070,Adelaide (C)
182,40001780000,40070,Adelaide (C)
183,40001790000,40070,Adelaide (C)
184,40001800000,40070,Adelaide (C)
185,40001810000,40070,Adelaide (C)
186,40001831000,40070,Adelaide (C)
187,40001832000,40070,Adelaide (C)
188,40001833000,40070,Adelaide (C)
189,40001840000,40070,Adelaide (C)
190,40001850000,40070,Adelaide (C)
191,40001880000,40070,Adelaide (C)
192,40001890000,40070,Adelaide (C)
193,40001900000,40070,Adelaide (C)
194,40001910000,40070,Adelaide (C)
195,40001920000,40070,Adelaide (C)
196,40001930000,40070,Adelaide (C)
197,40001940000,40070,Adelaide (C)
198,40001950000,40070,Adelaide (C)
199,40001960000,40070,Adelaide (C)
200,40001970000,40070,Adelaide (C)
201,40001981000,40070,Adelaide (C)
202,40001982000,40070,Adelaide (C)
203,40001990000,40070,Adelaide (C)
204,40002000000,40070,Adelaide (C)
205,40002010000,40070,Adelaide (C)
206,40002020000,40070,Adelaide (C)
207,40002031000,40070,Adelaide (C)
208,40002040000,40070,Adelaide (C)
209,40002050000,40070,Adelaide (C)
210,40002070000,40070,Adelaide (C)
211,40002090000,40070,Adelaide (C)
212,40002100000,40070,Adelaide (C)
213,40002110000,40070,Adelaide (C)
214,40002130000,40070,Adelaide (C)
215,40002140000,40070,Adelaide (C)
216,40002150000,40070,Adelaide (C)
217,40002170000,40070,Adelaide (C)
218,40002181000,40070,Adelaide (C)
219,40002182000,40070,Adelaide (C)
220,40002183000,40070,Adelaide (C)
221,40002191000,40070,Adelaide (C)
222,40002193000,40070,Adelaide (C)
223,40002210000,40070,Adelaide (C)
224,40002230000,40070,Adelaide (C)
225,40002241000,40070,Adelaide (C)
226,40002242000,40070,Adelaide (C)
227,40002243000,40070,Adelaide (C)
228,40002260000,40070,Adelaide (C)
229,40002281000,40070,Adelaide (C)
230,40002282000,40070,Adelaide (C)
231,40002283000,40070,Adelaide (C)
232,40002291000,40070,Adelaide (C)
233,40002292000,40070,Adelaide (C)
234,40002301000,40070,Adelaide (C)
235,40002302000,40070,Adelaide (C)
236,40002310000,40070,Adelaide (C)
237,40002320000,40070,Adelaide (C)
238,40002340000,40070,Adelaide (C)
239,40002350000,40070,Adelaide (C)
240,40002360000,40070,Adelaide (C)
241,40002370000,40070,Adelaide (C)
242,40002380000,40070,Adelaide (C)
243,40002390000,40070,Adelaide (C)
244,40002411000,40070,Adelaide (C)
245,40002412000,40070,Adelaide (C)
246,40002430000,40070,Adelaide (C)
247,40002450000,40070,Adelaide (C)
248,40002460000,40070,Adelaide (C)
249,40002470000,40070,Adelaide (C)
250,40002481000,40070,Adelaide (C)
251,40002482000,40070,Adelaide (C)
252,40002491000,40070,Adelaide (C)
253,40002492000,40070,Adelaide (C)
254,40002500000,40070,Adelaide (C)
255,40002510000,40070,Adelaide (C)
256,40002530000,40070,Adelaide (C)
257,40002560000,40070,Adelaide (C)
258,40002580000,40070,Adelaide (C)
259,40002600000,40070,Adelaide (C)
260,40002610000,40070,Adelaide (C)
261,40002630000,40070,Adelaide (C)
262,40002640000,40070,Adelaide (C)
263,40002650000,40070,Adelaide (C)
264,40002660000,40070,Adelaide (C)
265,40002671000,40070,Adelaide (C)
266,40002672000,40070,Adelaide (C)
267,40002680000,40070,Adelaide (C)
268,40002700000,40070,Adelaide (C)
269,40002710000,40070,Adelaide (C)
270,40002720000,40070,Adelaide (C)
271,40002730000,40070,Adelaide (C)
272,40002751000,40070,Adelaide (C)
273,40002752000,40070,Adelaide (C)
274,40002753000,40070,Adelaide (C)
275,40002770000,40070,Adelaide (C)
276,40002780000,40070,Adelaide (C)
277,40002800000,40070,Adelaide (C)
278,40002810000,40070,Adelaide (C)
279,40002820000,40070,Adelaide (C)
280,40002830000,40070,Adelaide (C)
281,40002850000,40070,Adelaide (C)
282,40002860000,40070,Adelaide (C)
283,40002870000,40070,Adelaide (C)
284,40002880000,40070,Adelaide (C)
285,40002891000,40070,Adelaide (C)
286,40002892000,40070,Adelaide (C)
287,40002900000,40070,Adelaide (C)
288,40002911000,40070,Adelaide (C)
289,40002912000,40070,Adelaide (C)
290,40002913000,40070,Adelaide (C)
291,40002921000,40070,Adelaide (C)
292,40002922000,40070,Adelaide (C)
293,40002923000,40070,Adelaide (C)
294,40002930000,40070,Adelaide (C)
295,40002941000,40070,Adelaide (C)
296,40002942000,40070,Adelaide (C)
297,40002960000,40070,Adelaide (C)
298,40002971000,40070,Adelaide (C)
299,40002972000,40070,Adelaide (C)
300,40002973000,40070,Adelaide (C)
301,40002974000,40070,Adelaide (C)
302,40002980000,40070,Adelaide (C)
303,40002990000,40070,Adelaide (C)
304,40003000000,40070,Adelaide (C)
305,40003010000,40070,Adelaide (C)
306,40003020000,40070,Adelaide (C)
307,40003030000,40070,Adelaide (C)
308,40003050000,40070,Adelaide (C)
309,40003060000,40070,Adelaide (C)
310,40003070000,40070,Adelaide (C)
311,40003080000,40070,Adelaide (C)
312,40003090000,40070,Adelaide (C)
313,40003100000,40070,Adelaide (C)
314,40003120000,40070,Adelaide (C)
315,40003140000,40070,Adelaide (C)
316,40003150000,40070,Adelaide (C)
317,40003170000,40070,Adelaide (C)
318,40003180000,40070,Adelaide (C)
319,40003200000,40070,Adelaide (C)
320,40003210000,40070,Adelaide (C)
321,40003220000,40070,Adelaide (C)
322,40003230000,40070,Adelaide (C)
323,40003240000,40070,Adelaide (C)
324,40003260000,40070,Adelaide (C)
325,40003270000,40070,Adelaide (C)
326,40003280000,40070,Adelaide (C)
327,40003300000,40070,Adelaide (C)
328,40003310000,40070,Adelaide (C)
329,40003320000,40070,Adelaide (C)
330,40003330000,40070,Adelaide (C)
331,40003340000,40070,Adelaide (C)
332,40003351000,40070,Adelaide (C)
333,40003352000,40070,Adelaide (C)
334,40003353000,40070,Adelaide (C)
335,40003360000,40070,Adelaide (C)
336,40003370000,40070,Adelaide (C)
337,40003380000,40070,Adelaide (C)
338,40003390000,40070,Adelaide (C)
339,40003400000,40070,Adelaide (C)
340,40003410000,40070,Adelaide (C)
341,40003420000,40070,Adelaide (C)
342,40003430000,40070,Adelaide (C)
343,40003440000,40070,Adelaide (C)
344,40003450000,40070,Adelaide (C)
345,40003460000,40070,Adelaide (C)
346,40003470000,40070,Adelaide (C)
347,40003480000,40070,Adelaide (C)
348,40003500000,40070,Adelaide (C)
349,40003510000,40070,Adelaide (C)
350,40003520000,40070,Adelaide (C)
351,40003530000,40070,Adelaide (C)
352,40003540000,40070,Adelaide (C)
353,40003550000,40070,Adelaide (C)
354,40003560000,40070,Adelaide (C)
355,40003580000,40070,Adelaide (C)
356,40003590000,40070,Adelaide (C)
357,40003600000,40070,Adelaide (C)
358,40003610000,40070,Adelaide (C)
359,40003621000,40070,Adelaide (C)
360,40003622000,40070,Adelaide (C)
361,40003623000,40070,Adelaide (C)
362,40003630000,40070,Adelaide (C)
363,40003640000,40070,Adelaide (C)
364,40003650000,40070,Adelaide (C)
365,40003660000,40070,Adelaide (C)
366,40003670000,40070,Adelaide (C)
367,40003680000,40070,Adelaide (C)
368,40003700000,40070,Adelaide (C)
369,40003710000,40070,Adelaide (C)
370,40003720000,40070,Adelaide (C)
371,40003730000,40070,Adelaide (C)
372,40003740000,40070,Adelaide (C)
373,40003750000,40070,Adelaide (C)
374,40003770000,40070,Adelaide (C)
375,40003780000,40070,Adelaide (C)
376,40003790000,40070,Adelaide (C)
377,40003800000,40120,Adelaide Hills (DC)
378,40003810000,40120,Adelaide Hills (DC)
379,40003820000,40120,Adelaide Hills (DC)
380,40003830000,40120,Adelaide Hills (DC)
381,40003840000,40120,Adelaide Hills (DC)
382,40003850000,40120,Adelaide Hills (DC)
383,40003860000,40120,Adelaide Hills (DC)
384,40003870000,40120,Adelaide Hills (DC)
385,40003900000,40120,Adelaide Hills (DC)
386,40003910000,40120,Adelaide Hills (DC)
387,40003920000,40120,Adelaide Hills (DC)
388,40003930000,40120,Adelaide Hills (DC)
389,40003940000,40120,Adelaide Hills (DC)
390,40003950000,40120,Adelaide Hills (DC)
391,40003960000,40120,Adelaide Hills (DC)
392,40003970000,40120,Adelaide Hills (DC)
393,40003980000,40120,Adelaide Hills (DC)
394,40003990000,40120,Adelaide Hills (DC)
395,40004000000,40120,Adelaide Hills (DC)
396,40004010000,40120,Adelaide Hills (DC)
397,40004020000,40120,Adelaide Hills (DC)
398,40004030000,40120,Adelaide Hills (DC)
399,40004040000,40120,Adelaide Hills (DC)
400,40004050000,40120,Adelaide Hills (DC)
401,40004060000,40120,Adelaide Hills (DC)
402,40004070000,40120,Adelaide Hills (DC)
403,40004080000,40120,Adelaide Hills (DC)
404,40004091000,40120,Adelaide Hills (DC)
405,40004092000,40120,Adelaide Hills (DC)
406,40004100000,40120,Adelaide Hills (DC)
407,40004110000,40120,Adelaide Hills (DC)
408,40004121000,40120,Adelaide Hills (DC)
409,40004122000,40120,Adelaide Hills (DC)
410,40004123000,40120,Adelaide Hills (DC)
411,40004124000,40120,Adelaide Hills (DC)
412,40004130000,40120,Adelaide Hills (DC)
413,40004140000,40120,Adelaide Hills (DC)
414,40004150000,40120,Adelaide Hills (DC)
415,40004160000,40120,Adelaide Hills (DC)
416,40004170000,40120,Adelaide Hills (DC)
417,40004180000,40120,Adelaide Hills (DC)
418,40004190000,40120,Adelaide Hills (DC)
419,40004200000,40120,Adelaide Hills (DC)
420,40004210000,40120,Adelaide Hills (DC)
421,40004220000,40120,Adelaide Hills (DC)
422,40004230000,40120,Adelaide Hills (DC)
423,40004240000,40120,Adelaide Hills (DC)
424,40004250000,40120,Adelaide Hills (DC)
425,40004260000,40120,Adelaide Hills (DC)
426,40004270000,40120,Adelaide Hills (DC)
427,40004280000,40120,Adelaide Hills (DC)
428,40004290000,40120,Adelaide Hills (DC)
429,40004300000,40120,Adelaide Hills (DC)
430,40004310000,40120,Adelaide Hills (DC)
431,40004321000,40120,Adelaide Hills (DC)
432,40004322000,40120,Adelaide Hills (DC)
433,40004330000,40120,Adelaide Hills (DC)
434,40004340000,40120,Adelaide Hills (DC)
435,40004360000,40120,Adelaide Hills (DC)
436,40004370000,40120,Adelaide Hills (DC)
437,40004380000,40120,Adelaide Hills (DC)
438,40004390000,40120,Adelaide Hills (DC)
439,40004400000,40120,Adelaide Hills (DC)
440,40004410000,40120,Adelaide Hills (DC)
441,40004430000,40120,Adelaide Hills (DC)
442,40004440000,40120,Adelaide Hills (DC)
443,40004450000,40120,Adelaide Hills (DC)
