,HierarchyLevel,CategoryName,CategoryId,Level1,Level2,Level3,Level4,Level5
266,3,Labour Canteen,57558b36e4b065ecebd306b2,Food,French Restaurant,Labour Canteen,,
267,3,Lyonese Bouchon,57558b35e4b065ecebd306ad,Food,French Restaurant,Lyonese Bouchon,,
268,3,Norman Restaurant,57558b36e4b065ecebd306d4,Food,French Restaurant,Norman Restaurant,,
269,3,Provençal Restaurant,57558b36e4b065ecebd306d7,Food,French Restaurant,Provençal Restaurant,,
270,3,Savoyard Restaurant,57558b36e4b065ecebd306da,Food,French Restaurant,Savoyard Restaurant,,
271,3,Southwestern French Restaurant,57558b36e4b065ecebd306ba,Food,French Restaurant,Southwestern French Restaurant,,
272,2,Fried Chicken Joint,4d4ae6fc7a7b7dea34424761,Food,Fried Chicken Joint,,,
273,2,Friterie,55d25775498e9f6a0816a37a,Food,Friterie,,,
274,2,Gastropub,4bf58dd8d48988d155941735,Food,Gastropub,,,
275,2,German Restaurant,4bf58dd8d48988d10d941735,Food,German Restaurant,,,
276,3,Apple Wine Pub,56aa371ce4b08b9a8d573583,Food,German Restaurant,Apple Wine Pub,,
277,3,Bavarian Restaurant,56aa371ce4b08b9a8d573572,Food,German Restaurant,Bavarian Restaurant,,
278,3,Bratwurst Joint,56aa371ce4b08b9a8d57358e,Food,German Restaurant,Bratwurst Joint,,
279,3,Currywurst Joint,56aa371ce4b08b9a8d57358b,Food,German Restaurant,Currywurst Joint,,
280,3,Franconian Restaurant,56aa371ce4b08b9a8d573574,Food,German Restaurant,Franconian Restaurant,,
281,3,German Pop-Up Restaurant,56aa371ce4b08b9a8d573592,Food,German Restaurant,German Pop-Up Restaurant,,
282,3,Palatine Restaurant,56aa371ce4b08b9a8d573578,Food,German Restaurant,Palatine Restaurant,,
283,3,Rhenisch Restaurant,56aa371ce4b08b9a8d57357b,Food,German Restaurant,Rhenisch Restaurant,,
284,3,Schnitzel Restaurant,56aa371ce4b08b9a8d573587,Food,German Restaurant,Schnitzel Restaurant,,
285,3,Silesian Restaurant,56aa371ce4b08b9a8d57357f,Food,German Restaurant,Silesian Restaurant,,
286,3,Swabian Restaurant,56aa371ce4b08b9a8d573576,Food,German Restaurant,Swabian Restaurant,,
287,2,Gluten-free Restaurant,4c2cd86ed066bed06c3c5209,Food,Gluten-free Restaurant,,,
288,2,Greek Restaurant,4bf58dd8d48988d10e941735,Food,Greek Restaurant,,,
289,3,Bougatsa Shop,53d6c1b0e4b02351e88a83e8,Food,Greek Restaurant,Bougatsa Shop,,
290,3,Cretan Restaurant,53d6c1b0e4b02351e88a83e2,Food,Greek Restaurant,Cretan Restaurant,,
291,3,Fish Taverna,53d6c1b0e4b02351e88a83d8,Food,Greek Restaurant,Fish Taverna,,
292,3,Grilled Meat Restaurant,53d6c1b0e4b02351e88a83d6,Food,Greek Restaurant,Grilled Meat Restaurant,,
293,3,Kafenio,53d6c1b0e4b02351e88a83e6,Food,Greek Restaurant,Kafenio,,
294,3,Magirio,53d6c1b0e4b02351e88a83e4,Food,Greek Restaurant,Magirio,,
295,3,Meze Restaurant,53d6c1b0e4b02351e88a83da,Food,Greek Restaurant,Meze Restaurant,,
296,3,Modern Greek Restaurant,53d6c1b0e4b02351e88a83d4,Food,Greek Restaurant,Modern Greek Restaurant,,
297,3,Ouzeri,53d6c1b0e4b02351e88a83dc,Food,Greek Restaurant,Ouzeri,,
298,3,Patsa Restaurant,53d6c1b0e4b02351e88a83e0,Food,Greek Restaurant,Patsa Restaurant,,
299,3,Souvlaki Shop,52e81612bcbc57f1066b79f3,Food,Greek Restaurant,Souvlaki Shop,,
300,3,Taverna,53d6c1b0e4b02351e88a83d2,Food,Greek Restaurant,Taverna,,
301,3,Tsipouro Restaurant,53d6c1b0e4b02351e88a83de,Food,Greek Restaurant,Tsipouro Restaurant,,
302,2,Halal Restaurant,52e81612bcbc57f1066b79ff,Food,Halal Restaurant,,,
303,2,Hawaiian Restaurant,52e81612bcbc57f1066b79fe,Food,Hawaiian Restaurant,,,
304,3,Poke Place,5bae9231bedf3950379f89d4,Food,Hawaiian Restaurant,Poke Place,,
305,2,Hot Dog Joint,4bf58dd8d48988d16f941735,Food,Hot Dog Joint,,,
306,2,Hungarian Restaurant,52e81612bcbc57f1066b79fa,Food,Hungarian Restaurant,,,
307,2,Indian Restaurant,4bf58dd8d48988d10f941735,Food,Indian Restaurant,,,
308,3,Andhra Restaurant,54135bf5e4b08f3d2429dfe5,Food,Indian Restaurant,Andhra Restaurant,,
309,3,Awadhi Restaurant,54135bf5e4b08f3d2429dff3,Food,Indian Restaurant,Awadhi Restaurant,,
310,3,Bengali Restaurant,54135bf5e4b08f3d2429dff5,Food,Indian Restaurant,Bengali Restaurant,,
311,3,Chaat Place,54135bf5e4b08f3d2429dfe2,Food,Indian Restaurant,Chaat Place,,
312,3,Chettinad Restaurant,54135bf5e4b08f3d2429dff2,Food,Indian Restaurant,Chettinad Restaurant,,
313,3,Dhaba,54135bf5e4b08f3d2429dfe1,Food,Indian Restaurant,Dhaba,,
314,3,Dosa Place,54135bf5e4b08f3d2429dfe3,Food,Indian Restaurant,Dosa Place,,
315,3,Goan Restaurant,54135bf5e4b08f3d2429dfe8,Food,Indian Restaurant,Goan Restaurant,,
316,3,Gujarati Restaurant,54135bf5e4b08f3d2429dfe9,Food,Indian Restaurant,Gujarati Restaurant,,
317,3,Hyderabadi Restaurant,54135bf5e4b08f3d2429dfe6,Food,Indian Restaurant,Hyderabadi Restaurant,,
318,3,Indian Chinese Restaurant,54135bf5e4b08f3d2429dfdf,Food,Indian Restaurant,Indian Chinese Restaurant,,
319,3,Indian Sweet Shop,54135bf5e4b08f3d2429dfe4,Food,Indian Restaurant,Indian Sweet Shop,,
320,3,Irani Cafe,54135bf5e4b08f3d2429dfe7,Food,Indian Restaurant,Irani Cafe,,
321,3,Jain Restaurant,54135bf5e4b08f3d2429dfea,Food,Indian Restaurant,Jain Restaurant,,
322,3,Karnataka Restaurant,54135bf5e4b08f3d2429dfeb,Food,Indian Restaurant,Karnataka Restaurant,,
323,3,Kerala Restaurant,54135bf5e4b08f3d2429dfed,Food,Indian Restaurant,Kerala Restaurant,,
324,3,Maharashtrian Restaurant,54135bf5e4b08f3d2429dfee,Food,Indian Restaurant,Maharashtrian Restaurant,,
325,3,Mughlai Restaurant,54135bf5e4b08f3d2429dff4,Food,Indian Restaurant,Mughlai Restaurant,,
326,3,Multicuisine Indian Restaurant,54135bf5e4b08f3d2429dfe0,Food,Indian Restaurant,Multicuisine Indian Restaurant,,
327,3,North Indian Restaurant,54135bf5e4b08f3d2429dfdd,Food,Indian Restaurant,North Indian Restaurant,,
328,3,Northeast Indian Restaurant,54135bf5e4b08f3d2429dff6,Food,Indian Restaurant,Northeast Indian Restaurant,,
329,3,Parsi Restaurant,54135bf5e4b08f3d2429dfef,Food,Indian Restaurant,Parsi Restaurant,,
330,3,Punjabi Restaurant,54135bf5e4b08f3d2429dff0,Food,Indian Restaurant,Punjabi Restaurant,,
331,3,Rajasthani Restaurant,54135bf5e4b08f3d2429dff1,Food,Indian Restaurant,Rajasthani Restaurant,,
332,3,South Indian Restaurant,54135bf5e4b08f3d2429dfde,Food,Indian Restaurant,South Indian Restaurant,,
333,3,Udupi Restaurant,54135bf5e4b08f3d2429dfec,Food,Indian Restaurant,Udupi Restaurant,,
334,2,Irish Pub,52e81612bcbc57f1066b7a06,Food,Irish Pub,,,
335,2,Italian Restaurant,4bf58dd8d48988d110941735,Food,Italian Restaurant,,,
336,3,Abruzzo Restaurant,55a5a1ebe4b013909087cbb6,Food,Italian Restaurant,Abruzzo Restaurant,,
337,3,Agriturismo,55a5a1ebe4b013909087cb7c,Food,Italian Restaurant,Agriturismo,,
338,3,Aosta Restaurant,55a5a1ebe4b013909087cba7,Food,Italian Restaurant,Aosta Restaurant,,
339,3,Basilicata Restaurant,55a5a1ebe4b013909087cba1,Food,Italian Restaurant,Basilicata Restaurant,,
340,3,Calabria Restaurant,55a5a1ebe4b013909087cba4,Food,Italian Restaurant,Calabria Restaurant,,
341,3,Campanian Restaurant,55a5a1ebe4b013909087cb95,Food,Italian Restaurant,Campanian Restaurant,,
342,3,Emilia Restaurant,55a5a1ebe4b013909087cb89,Food,Italian Restaurant,Emilia Restaurant,,
343,3,Friuli Restaurant,55a5a1ebe4b013909087cb9b,Food,Italian Restaurant,Friuli Restaurant,,
344,3,Ligurian Restaurant,55a5a1ebe4b013909087cb98,Food,Italian Restaurant,Ligurian Restaurant,,
345,3,Lombard Restaurant,55a5a1ebe4b013909087cbbf,Food,Italian Restaurant,Lombard Restaurant,,
346,3,Malga,55a5a1ebe4b013909087cb79,Food,Italian Restaurant,Malga,,
347,3,Marche Restaurant,55a5a1ebe4b013909087cbb0,Food,Italian Restaurant,Marche Restaurant,,
348,3,Molise Restaurant,55a5a1ebe4b013909087cbb3,Food,Italian Restaurant,Molise Restaurant,,
349,3,Piadineria,55a5a1ebe4b013909087cb74,Food,Italian Restaurant,Piadineria,,
350,3,Piedmontese Restaurant,55a5a1ebe4b013909087cbaa,Food,Italian Restaurant,Piedmontese Restaurant,,
351,3,Puglia Restaurant,55a5a1ebe4b013909087cb83,Food,Italian Restaurant,Puglia Restaurant,,
352,3,Romagna Restaurant,55a5a1ebe4b013909087cb8c,Food,Italian Restaurant,Romagna Restaurant,,
353,3,Roman Restaurant,55a5a1ebe4b013909087cb92,Food,Italian Restaurant,Roman Restaurant,,
354,3,Sardinian Restaurant,55a5a1ebe4b013909087cb8f,Food,Italian Restaurant,Sardinian Restaurant,,
355,3,Sicilian Restaurant,55a5a1ebe4b013909087cb86,Food,Italian Restaurant,Sicilian Restaurant,,
356,3,South Tyrolean Restaurant,55a5a1ebe4b013909087cbb9,Food,Italian Restaurant,South Tyrolean Restaurant,,
357,3,Trattoria/Osteria,55a5a1ebe4b013909087cb7f,Food,Italian Restaurant,Trattoria/Osteria,,
358,3,Trentino Restaurant,55a5a1ebe4b013909087cbbc,Food,Italian Restaurant,Trentino Restaurant,,
359,3,Tuscan Restaurant,55a5a1ebe4b013909087cb9e,Food,Italian Restaurant,Tuscan Restaurant,,
360,3,Umbrian Restaurant,55a5a1ebe4b013909087cbc2,Food,Italian Restaurant,Umbrian Restaurant,,
361,3,Veneto Restaurant,55a5a1ebe4b013909087cbad,Food,Italian Restaurant,Veneto Restaurant,,
362,2,Jewish Restaurant,52e81612bcbc57f1066b79fd,Food,Jewish Restaurant,,,
363,3,Kosher Restaurant,52e81612bcbc57f1066b79fc,Food,Jewish Restaurant,Kosher Restaurant,,
364,2,Juice Bar,4bf58dd8d48988d112941735,Food,Juice Bar,,,
365,2,Kebab Restaurant,5283c7b4e4b094cb91ec88d7,Food,Kebab Restaurant,,,
366,2,Latin American Restaurant,4bf58dd8d48988d1be941735,Food,Latin American Restaurant,,,
367,3,Arepa Restaurant,4bf58dd8d48988d152941735,Food,Latin American Restaurant,Arepa Restaurant,,
368,3,Empanada Restaurant,52939a8c3cf9994f4e043a35,Food,Latin American Restaurant,Empanada Restaurant,,
369,3,Salvadoran Restaurant,5745c7ac498e5d0483112fdb,Food,Latin American Restaurant,Salvadoran Restaurant,,
370,3,South American Restaurant,4bf58dd8d48988d1cd941735,Food,Latin American Restaurant,South American Restaurant,,
371,4,Argentinian Restaurant,4bf58dd8d48988d107941735,Food,Latin American Restaurant,South American Restaurant,Argentinian Restaurant,
372,4,Brazilian Restaurant,4bf58dd8d48988d16b941735,Food,Latin American Restaurant,South American Restaurant,Brazilian Restaurant,
373,5,Acai House,5294c7523cf9994f4e043a62,Food,Latin American Restaurant,South American Restaurant,Brazilian Restaurant,Acai House
374,5,Baiano Restaurant,52939ae13cf9994f4e043a3b,Food,Latin American Restaurant,South American Restaurant,Brazilian Restaurant,Baiano Restaurant
375,5,Central Brazilian Restaurant,52939a9e3cf9994f4e043a36,Food,Latin American Restaurant,South American Restaurant,Brazilian Restaurant,Central Brazilian Restaurant
376,5,Churrascaria,52939a643cf9994f4e043a33,Food,Latin American Restaurant,South American Restaurant,Brazilian Restaurant,Churrascaria
377,5,Empada House,5294c55c3cf9994f4e043a61,Food,Latin American Restaurant,South American Restaurant,Brazilian Restaurant,Empada House
378,5,Goiano Restaurant,52939af83cf9994f4e043a3d,Food,Latin American Restaurant,South American Restaurant,Brazilian Restaurant,Goiano Restaurant
379,5,Mineiro Restaurant,52939aed3cf9994f4e043a3c,Food,Latin American Restaurant,South American Restaurant,Brazilian Restaurant,Mineiro Restaurant
380,5,Northeastern Brazilian Restaurant,52939aae3cf9994f4e043a37,Food,Latin American Restaurant,South American Restaurant,Brazilian Restaurant,Northeastern Brazilian Restaurant
381,5,Northern Brazilian Restaurant,52939ab93cf9994f4e043a38,Food,Latin American Restaurant,South American Restaurant,Brazilian Restaurant,Northern Brazilian Restaurant
382,5,Pastelaria,5294cbda3cf9994f4e043a63,Food,Latin American Restaurant,South American Restaurant,Brazilian Restaurant,Pastelaria
383,5,Southeastern Brazilian Restaurant,52939ac53cf9994f4e043a39,Food,Latin American Restaurant,South American Restaurant,Brazilian Restaurant,Southeastern Brazilian Restaurant
384,5,Southern Brazilian Restaurant,52939ad03cf9994f4e043a3a,Food,Latin American Restaurant,South American Restaurant,Brazilian Restaurant,Southern Brazilian Restaurant
385,5,Tapiocaria,52939a7d3cf9994f4e043a34,Food,Latin American Restaurant,South American Restaurant,Brazilian Restaurant,Tapiocaria
386,4,Colombian Restaurant,58daa1558bbb0b01f18ec1f4,Food,Latin American Restaurant,South American Restaurant,Colombian Restaurant,
387,4,Peruvian Restaurant,4eb1bfa43b7b52c0e1adc2e8,Food,Latin American Restaurant,South American Restaurant,Peruvian Restaurant,
388,4,Venezuelan Restaurant,56aa371be4b08b9a8d573558,Food,Latin American Restaurant,South American Restaurant,Venezuelan Restaurant,
389,2,Mac & Cheese Joint,4bf58dd8d48988d1bf941735,Food,Mac & Cheese Joint,,,
390,2,Mediterranean Restaurant,4bf58dd8d48988d1c0941735,Food,Mediterranean Restaurant,,,
391,3,Moroccan Restaurant,4bf58dd8d48988d1c3941735,Food,Mediterranean Restaurant,Moroccan Restaurant,,
392,2,Mexican Restaurant,4bf58dd8d48988d1c1941735,Food,Mexican Restaurant,,,
393,3,Botanero,58daa1558bbb0b01f18ec1d9,Food,Mexican Restaurant,Botanero,,
394,3,Burrito Place,4bf58dd8d48988d153941735,Food,Mexican Restaurant,Burrito Place,,
395,3,Taco Place,4bf58dd8d48988d151941735,Food,Mexican Restaurant,Taco Place,,
396,3,Tex-Mex Restaurant,56aa371ae4b08b9a8d5734ba,Food,Mexican Restaurant,Tex-Mex Restaurant,,
397,3,Yucatecan Restaurant,5744ccdfe4b0c0459246b4d3,Food,Mexican Restaurant,Yucatecan Restaurant,,
398,2,Middle Eastern Restaurant,4bf58dd8d48988d115941735,Food,Middle Eastern Restaurant,,,
399,3,Egyptian Restaurant,5bae9231bedf3950379f89e1,Food,Middle Eastern Restaurant,Egyptian Restaurant,,
400,3,Iraqi Restaurant,5bae9231bedf3950379f89e7,Food,Middle Eastern Restaurant,Iraqi Restaurant,,
401,3,Israeli Restaurant,56aa371be4b08b9a8d573529,Food,Middle Eastern Restaurant,Israeli Restaurant,,
402,3,Kurdish Restaurant,5744ccdfe4b0c0459246b4ca,Food,Middle Eastern Restaurant,Kurdish Restaurant,,
403,3,Lebanese Restaurant,58daa1558bbb0b01f18ec1cd,Food,Middle Eastern Restaurant,Lebanese Restaurant,,
404,3,Persian Restaurant,52e81612bcbc57f1066b79f7,Food,Middle Eastern Restaurant,Persian Restaurant,,
405,4,Ash and Haleem Place,58daa1558bbb0b01f18ec1bc,Food,Middle Eastern Restaurant,Persian Restaurant,Ash and Haleem Place,
406,4,Dizi Place,58daa1558bbb0b01f18ec1c0,Food,Middle Eastern Restaurant,Persian Restaurant,Dizi Place,
407,4,Gilaki Restaurant,58daa1558bbb0b01f18ec1c4,Food,Middle Eastern Restaurant,Persian Restaurant,Gilaki Restaurant,
408,4,Jegaraki,58daa1558bbb0b01f18ec1c7,Food,Middle Eastern Restaurant,Persian Restaurant,Jegaraki,
409,4,Tabbakhi,5744ccdfe4b0c0459246b4a8,Food,Middle Eastern Restaurant,Persian Restaurant,Tabbakhi,
410,3,Shawarma Place,5bae9231bedf3950379f89e4,Food,Middle Eastern Restaurant,Shawarma Place,,
411,3,Syrian Restaurant,5bae9231bedf3950379f89da,Food,Middle Eastern Restaurant,Syrian Restaurant,,
412,3,Yemeni Restaurant,5bae9231bedf3950379f89ea,Food,Middle Eastern Restaurant,Yemeni Restaurant,,
413,2,Modern European Restaurant,52e81612bcbc57f1066b79f9,Food,Modern European Restaurant,,,
414,2,Molecular Gastronomy Restaurant,4bf58dd8d48988d1c2941735,Food,Molecular Gastronomy Restaurant,,,
415,2,Pakistani Restaurant,52e81612bcbc57f1066b79f8,Food,Pakistani Restaurant,,,
416,2,Pet Café,56aa371be4b08b9a8d573508,Food,Pet Café,,,
417,2,Pizza Place,4bf58dd8d48988d1ca941735,Food,Pizza Place,,,
418,2,Polish Restaurant,52e81612bcbc57f1066b7a04,Food,Polish Restaurant,,,
419,2,Portuguese Restaurant,4def73e84765ae376e57713a,Food,Portuguese Restaurant,,,
420,2,Poutine Place,56aa371be4b08b9a8d5734c7,Food,Poutine Place,,,
421,2,Restaurant,4bf58dd8d48988d1c4941735,Food,Restaurant,,,
422,2,Russian Restaurant,5293a7563cf9994f4e043a44,Food,Russian Restaurant,,,
423,3,Blini House,52e928d0bcbc57f1066b7e9d,Food,Russian Restaurant,Blini House,,
424,3,Pelmeni House,52e928d0bcbc57f1066b7e9c,Food,Russian Restaurant,Pelmeni House,,
425,2,Salad Place,4bf58dd8d48988d1bd941735,Food,Salad Place,,,
426,2,Sandwich Place,4bf58dd8d48988d1c5941735,Food,Sandwich Place,,,
427,2,Scandinavian Restaurant,4bf58dd8d48988d1c6941735,Food,Scandinavian Restaurant,,,
428,2,Scottish Restaurant,5744ccdde4b0c0459246b4a3,Food,Scottish Restaurant,,,
429,2,Seafood Restaurant,4bf58dd8d48988d1ce941735,Food,Seafood Restaurant,,,
430,2,Slovak Restaurant,56aa371be4b08b9a8d57355a,Food,Slovak Restaurant,,,
431,2,Snack Place,4bf58dd8d48988d1c7941735,Food,Snack Place,,,
432,2,Soup Place,4bf58dd8d48988d1dd931735,Food,Soup Place,,,
433,2,Southern / Soul Food Restaurant,4bf58dd8d48988d14f941735,Food,Southern / Soul Food Restaurant,,,
434,2,Spanish Restaurant,4bf58dd8d48988d150941735,Food,Spanish Restaurant,,,
435,3,Paella Restaurant,4bf58dd8d48988d14d941735,Food,Spanish Restaurant,Paella Restaurant,,
436,3,Tapas Restaurant,4bf58dd8d48988d1db931735,Food,Spanish Restaurant,Tapas Restaurant,,
437,2,Sri Lankan Restaurant,5413605de4b0ae91d18581a9,Food,Sri Lankan Restaurant,,,
438,2,Steakhouse,4bf58dd8d48988d1cc941735,Food,Steakhouse,,,
439,2,Swiss Restaurant,4bf58dd8d48988d158941735,Food,Swiss Restaurant,,,
440,2,Tea Room,4bf58dd8d48988d1dc931735,Food,Tea Room,,,
441,2,Theme Restaurant,56aa371be4b08b9a8d573538,Food,Theme Restaurant,,,
442,2,Truck Stop,57558b36e4b065ecebd306dd,Food,Truck Stop,,,
443,2,Turkish Restaurant,4f04af1f2fb6e1c99f3db0bb,Food,Turkish Restaurant,,,
444,3,Borek Place,530faca9bcbc57f1066bc2f3,Food,Turkish Restaurant,Borek Place,,
445,3,Cigkofte Place,530faca9bcbc57f1066bc2f4,Food,Turkish Restaurant,Cigkofte Place,,
446,3,Doner Restaurant,5283c7b4e4b094cb91ec88d8,Food,Turkish Restaurant,Doner Restaurant,,
447,3,Gozleme Place,5283c7b4e4b094cb91ec88d9,Food,Turkish Restaurant,Gozleme Place,,
448,3,Kofte Place,5283c7b4e4b094cb91ec88db,Food,Turkish Restaurant,Kofte Place,,
449,3,Kokoreç Restaurant,5283c7b4e4b094cb91ec88d6,Food,Turkish Restaurant,Kokoreç Restaurant,,
450,3,Kumpir Restaurant,56aa371be4b08b9a8d573535,Food,Turkish Restaurant,Kumpir Restaurant,,
451,3,Kumru Restaurant,56aa371be4b08b9a8d5734bd,Food,Turkish Restaurant,Kumru Restaurant,,
452,3,Manti Place,5283c7b4e4b094cb91ec88d5,Food,Turkish Restaurant,Manti Place,,
453,3,Meyhane,5283c7b4e4b094cb91ec88da,Food,Turkish Restaurant,Meyhane,,
454,3,Pide Place,530faca9bcbc57f1066bc2f2,Food,Turkish Restaurant,Pide Place,,
455,3,Pilavcı,58daa1558bbb0b01f18ec1df,Food,Turkish Restaurant,Pilavcı,,
456,3,Söğüş Place,58daa1558bbb0b01f18ec1dc,Food,Turkish Restaurant,Söğüş Place,,
457,3,Tantuni Restaurant,56aa371be4b08b9a8d5734bf,Food,Turkish Restaurant,Tantuni Restaurant,,
458,3,Turkish Coffeehouse,56aa371be4b08b9a8d5734c1,Food,Turkish Restaurant,Turkish Coffeehouse,,
459,3,Turkish Home Cooking Restaurant,5283c7b4e4b094cb91ec88d4,Food,Turkish Restaurant,Turkish Home Cooking Restaurant,,
460,3,Çöp Şiş Place,58daa1558bbb0b01f18ec1e2,Food,Turkish Restaurant,Çöp Şiş Place,,
461,2,Ukrainian Restaurant,52e928d0bcbc57f1066b7e96,Food,Ukrainian Restaurant,,,
462,3,Varenyky restaurant,52e928d0bcbc57f1066b7e9a,Food,Ukrainian Restaurant,Varenyky restaurant,,
463,3,West-Ukrainian Restaurant,52e928d0bcbc57f1066b7e9b,Food,Ukrainian Restaurant,West-Ukrainian Restaurant,,
464,2,Vegetarian / Vegan Restaurant,4bf58dd8d48988d1d3941735,Food,Vegetarian / Vegan Restaurant,,,
465,2,Wings Joint,4bf58dd8d48988d14c941735,Food,Wings Joint,,,
466,1,Nightlife Spot,4d4b7105d754a06376d81259,Nightlife Spot,,,,
467,2,Bar,4bf58dd8d48988d116941735,Nightlife Spot,Bar,,,
468,3,Beach Bar,52e81612bcbc57f1066b7a0d,Nightlife Spot,Bar,Beach Bar,,
469,3,Beer Bar,56aa371ce4b08b9a8d57356c,Nightlife Spot,Bar,Beer Bar,,
470,3,Beer Garden,4bf58dd8d48988d117941735,Nightlife Spot,Bar,Beer Garden,,
471,3,Champagne Bar,52e81612bcbc57f1066b7a0e,Nightlife Spot,Bar,Champagne Bar,,
472,3,Cocktail Bar,4bf58dd8d48988d11e941735,Nightlife Spot,Bar,Cocktail Bar,,
473,3,Dive Bar,4bf58dd8d48988d118941735,Nightlife Spot,Bar,Dive Bar,,
474,3,Gay Bar,4bf58dd8d48988d1d8941735,Nightlife Spot,Bar,Gay Bar,,
475,3,Hookah Bar,4bf58dd8d48988d119941735,Nightlife Spot,Bar,Hookah Bar,,
476,3,Hotel Bar,4bf58dd8d48988d1d5941735,Nightlife Spot,Bar,Hotel Bar,,
477,3,Karaoke Bar,4bf58dd8d48988d120941735,Nightlife Spot,Bar,Karaoke Bar,,
478,3,Pub,4bf58dd8d48988d11b941735,Nightlife Spot,Bar,Pub,,
479,3,Sake Bar,4bf58dd8d48988d11c941735,Nightlife Spot,Bar,Sake Bar,,
480,3,Speakeasy,4bf58dd8d48988d1d4941735,Nightlife Spot,Bar,Speakeasy,,
481,3,Sports Bar,4bf58dd8d48988d11d941735,Nightlife Spot,Bar,Sports Bar,,
482,3,Tiki Bar,56aa371be4b08b9a8d57354d,Nightlife Spot,Bar,Tiki Bar,,
483,3,Whisky Bar,4bf58dd8d48988d122941735,Nightlife Spot,Bar,Whisky Bar,,
484,3,Wine Bar,4bf58dd8d48988d123941735,Nightlife Spot,Bar,Wine Bar,,
485,2,Brewery,50327c8591d4c4b30a586d5d,Nightlife Spot,Brewery,,,
486,2,Lounge,4bf58dd8d48988d121941735,Nightlife Spot,Lounge,,,
487,2,Night Market,53e510b7498ebcb1801b55d4,Nightlife Spot,Night Market,,,
488,2,Nightclub,4bf58dd8d48988d11f941735,Nightlife Spot,Nightclub,,,
489,2,Other Nightlife,4bf58dd8d48988d11a941735,Nightlife Spot,Other Nightlife,,,
490,2,Strip Club,4bf58dd8d48988d1d6941735,Nightlife Spot,Strip Club,,,
491,1,Outdoors & Recreation,4d4b7105d754a06377d81259,Outdoors & Recreation,,,,
492,2,Athletics & Sports,4f4528bc4b90abdf24c9de85,Outdoors & Recreation,Athletics & Sports,,,
493,3,Badminton Court,52e81612bcbc57f1066b7a2b,Outdoors & Recreation,Athletics & Sports,Badminton Court,,
494,3,Baseball Field,4bf58dd8d48988d1e8941735,Outdoors & Recreation,Athletics & Sports,Baseball Field,,
495,3,Basketball Court,4bf58dd8d48988d1e1941735,Outdoors & Recreation,Athletics & Sports,Basketball Court,,
496,3,Bowling Green,52e81612bcbc57f1066b7a2f,Outdoors & Recreation,Athletics & Sports,Bowling Green,,
497,3,Curling Ice,56aa371be4b08b9a8d57351a,Outdoors & Recreation,Athletics & Sports,Curling Ice,,
498,3,Golf Course,4bf58dd8d48988d1e6941735,Outdoors & Recreation,Athletics & Sports,Golf Course,,
499,3,Golf Driving Range,58daa1558bbb0b01f18ec1b0,Outdoors & Recreation,Athletics & Sports,Golf Driving Range,,
500,3,Gym / Fitness Center,4bf58dd8d48988d175941735,Outdoors & Recreation,Athletics & Sports,Gym / Fitness Center,,
501,4,Boxing Gym,52f2ab2ebcbc57f1066b8b47,Outdoors & Recreation,Athletics & Sports,Gym / Fitness Center,Boxing Gym,
502,4,Climbing Gym,503289d391d4c4b30a586d6a,Outdoors & Recreation,Athletics & Sports,Gym / Fitness Center,Climbing Gym,
503,4,Cycle Studio,52f2ab2ebcbc57f1066b8b49,Outdoors & Recreation,Athletics & Sports,Gym / Fitness Center,Cycle Studio,
504,4,Gym Pool,4bf58dd8d48988d105941735,Outdoors & Recreation,Athletics & Sports,Gym / Fitness Center,Gym Pool,
505,4,Gymnastics Gym,52f2ab2ebcbc57f1066b8b48,Outdoors & Recreation,Athletics & Sports,Gym / Fitness Center,Gymnastics Gym,
506,4,Gym,4bf58dd8d48988d176941735,Outdoors & Recreation,Athletics & Sports,Gym / Fitness Center,Gym,
507,4,Martial Arts Dojo,4bf58dd8d48988d101941735,Outdoors & Recreation,Athletics & Sports,Gym / Fitness Center,Martial Arts Dojo,
508,4,Outdoor Gym,58daa1558bbb0b01f18ec203,Outdoors & Recreation,Athletics & Sports,Gym / Fitness Center,Outdoor Gym,
509,4,Pilates Studio,5744ccdfe4b0c0459246b4b2,Outdoors & Recreation,Athletics & Sports,Gym / Fitness Center,Pilates Studio,
510,4,Track,4bf58dd8d48988d106941735,Outdoors & Recreation,Athletics & Sports,Gym / Fitness Center,Track,
511,4,Weight Loss Center,590a0744340a5803fd8508c3,Outdoors & Recreation,Athletics & Sports,Gym / Fitness Center,Weight Loss Center,
512,4,Yoga Studio,4bf58dd8d48988d102941735,Outdoors & Recreation,Athletics & Sports,Gym / Fitness Center,Yoga Studio,
513,3,Hockey Field,4f452cd44b9081a197eba860,Outdoors & Recreation,Athletics & Sports,Hockey Field,,
514,3,Hockey Rink,56aa371be4b08b9a8d57352c,Outdoors & Recreation,Athletics & Sports,Hockey Rink,,
515,3,Paintball Field,5032829591d4c4b30a586d5e,Outdoors & Recreation,Athletics & Sports,Paintball Field,,
516,3,Rugby Pitch,52e81612bcbc57f1066b7a2c,Outdoors & Recreation,Athletics & Sports,Rugby Pitch,,
517,3,Skate Park,4bf58dd8d48988d167941735,Outdoors & Recreation,Athletics & Sports,Skate Park,,
518,3,Skating Rink,4bf58dd8d48988d168941735,Outdoors & Recreation,Athletics & Sports,Skating Rink,,
519,3,Soccer Field,4cce455aebf7b749d5e191f5,Outdoors & Recreation,Athletics & Sports,Soccer Field,,
