,HierarchyLevel,CategoryName,CategoryId,Level1,Level2,Level3,Level4,Level5
64,3,Zoo Exhibit,58daa1558bbb0b01f18ec1fd,Arts & Entertainment,Zoo,Zoo Exhibit,,
65,1,College & University,4d4b7105d754a06372d81259,College & University,,,,
66,2,College Academic Building,4bf58dd8d48988d198941735,College & University,College Academic Building,,,
67,3,College Arts Building,4bf58dd8d48988d199941735,College & University,College Academic Building,College Arts Building,,
68,3,College Communications Building,4bf58dd8d48988d19a941735,College & University,College Academic Building,College Communications Building,,
69,3,College Engineering Building,4bf58dd8d48988d19e941735,College & University,College Academic Building,College Engineering Building,,
70,3,College History Building,4bf58dd8d48988d19d941735,College & University,College Academic Building,College History Building,,
71,3,College Math Building,4bf58dd8d48988d19c941735,College & University,College Academic Building,College Math Building,,
72,3,College Science Building,4bf58dd8d48988d19b941735,College & University,College Academic Building,College Science Building,,
73,3,College Technology Building,4bf58dd8d48988d19f941735,College & University,College Academic Building,College Technology Building,,
74,2,College Administrative Building,4bf58dd8d48988d197941735,College & University,College Administrative Building,,,
75,2,College Auditorium,4bf58dd8d48988d1af941735,College & University,College Auditorium,,,
76,2,College Bookstore,4bf58dd8d48988d1b1941735,College & University,College Bookstore,,,
77,2,College Cafeteria,4bf58dd8d48988d1a1941735,College & University,College Cafeteria,,,
78,2,College Classroom,4bf58dd8d48988d1a0941735,College & University,College Classroom,,,
79,2,College Gym,4bf58dd8d48988d1b2941735,College & University,College Gym,,,
80,2,College Lab,4bf58dd8d48988d1a5941735,College & University,College Lab,,,
81,2,College Library,4bf58dd8d48988d1a7941735,College & University,College Library,,,
82,2,College Quad,4bf58dd8d48988d1aa941735,College & University,College Quad,,,
83,2,College Rec Center,4bf58dd8d48988d1a9941735,College & University,College Rec Center,,,
84,2,College Residence Hall,4bf58dd8d48988d1a3941735,College & University,College Residence Hall,,,
85,2,College Stadium,4bf58dd8d48988d1b4941735,College & University,College Stadium,,,
86,3,College Baseball Diamond,4bf58dd8d48988d1bb941735,College & University,College Stadium,College Baseball Diamond,,
87,3,College Basketball Court,4bf58dd8d48988d1ba941735,College & University,College Stadium,College Basketball Court,,
88,3,College Cricket Pitch,4bf58dd8d48988d1b9941735,College & University,College Stadium,College Cricket Pitch,,
89,3,College Football Field,4bf58dd8d48988d1b8941735,College & University,College Stadium,College Football Field,,
90,3,College Hockey Rink,4bf58dd8d48988d1b5941735,College & University,College Stadium,College Hockey Rink,,
91,3,College Soccer Field,4bf58dd8d48988d1b7941735,College & University,College Stadium,College Soccer Field,,
92,3,College Tennis Court,4e39a9cebd410d7aed40cbc4,College & University,College Stadium,College Tennis Court,,
