,Key,LgaName,LgaGroup,VenueCount,EgmCount,TotalNgr,TotalNgrPerAdult,MachinesPer1000Adult,AvgNgrPerMachine,AverageNgrPerVenue,AggregateNgrPerLgaStr,AverageNgrPerVenueStr,TotalNgrPerAdultStr,AvgNgrPerMachineStr,RankTotalNgr,RankTotalNgrPerAdult,RankEgmsPer1000Adult,RankAvgNgrPerMachine,MeshBlockCode,CityCode,City,StateCode,State,LgaCode
24,15,Cleve (DC),"Kimba (DC), Cleve (DC), Tumby Bay (DC), Franklin Harbour (DC)",7,77,1069.78,199.12,14.35,13893.28,152826.11,"$1,069,783","$152,826",$199,"$13,893",40,38,11,43,40045370000,40267,Cleve,4,South Australia,41190
25,15,Tumby Bay (DC),"Kimba (DC), Cleve (DC), Tumby Bay (DC), Franklin Harbour (DC)",7,77,1069.78,199.12,14.35,13893.28,152826.11,"$1,069,783","$152,826",$199,"$13,893",40,38,11,43,40194260000,40166,Brooker,4,South Australia,47910
26,15,Franklin Harbour (DC),"Kimba (DC), Cleve (DC), Tumby Bay (DC), Franklin Harbour (DC)",7,77,1069.78,199.12,14.35,13893.28,152826.11,"$1,069,783","$152,826",$199,"$13,893",40,38,11,43,40050022000,40316,Cowell,4,South Australia,41960
27,16,Loxton Waikerie (DC),Loxton Waikerie (DC),4,121,3922.69,427.73,13.19,32418.94,980673.06,"$3,922,692","$980,673",$428,"$32,419",31,24,15,26,40067820000,40136,Bookpurnong,4,South Australia,43790
28,17,Light (RegC),"Light (RegC), Adelaide Plains (DC)",11,104,3018.17,164.76,5.65,29020.86,274379.03,"$3,018,169","$274,379",$165,"$29,021",35,39,38,29,40064390000,40530,Greenock,4,South Australia,43650
29,17,Adelaide Plains (DC),"Light (RegC), Adelaide Plains (DC)",11,104,3018.17,164.76,5.65,29020.86,274379.03,"$3,018,169","$274,379",$165,"$29,021",35,39,38,29,40069060000,40434,Fischer,4,South Australia,40150
30,18,Marion (C),Marion (C),10,328,26850.22,359.37,4.37,81241.22,2685022.25,"$26,850,223","$2,685,022",$359,"$81,241",9,28,41,5,40071830000,40271,Tonsley,4,South Australia,44060
31,19,Mid Murray (DC),Mid Murray (DC),9,114,2288.33,301.98,14.99,20073.07,254258.9,"$2,288,330","$254,259",$302,"$20,073",38,33,9,39,40082420000,41023,Nildottie,4,South Australia,44210
32,20,Mitcham (C),"Mitcham (C), Burnside (C)",6,211,13658.89,153.53,2.37,63529.7,2276480.9,"$13,658,885","$2,276,481",$154,"$63,530",16,41,43,10,40084500000,40088,Belair,4,South Australia,44340
33,20,Burnside (C),"Mitcham (C), Burnside (C)",6,211,13658.89,153.53,2.37,63529.7,2276480.9,"$13,658,885","$2,276,481",$154,"$63,530",16,41,43,10,40017980000,40192,Burnside,4,South Australia,40700
