,MeshBlockCode,CityCode,City,StateCode,State,LgaCode,LgaName
73,40049560000,40074,Barndioota,4,South Australia,41830,Flinders Ranges (DC)
74,40098780000,40075,Baroota,4,South Australia,44830,Mount Remarkable (DC)
75,40014070000,40076,Barossa Goldfields,4,South Australia,40310,Barossa (DC)
76,40202650000,40077,Barunga Gap,4,South Australia,48130,Wakefield (DC)
77,40005790000,40078,Basket Range,4,South Australia,40120,Adelaide Hills (DC)
78,40060830000,40079,Baudin Beach,4,South Australia,42750,Kangaroo Island (DC)
79,40060320000,40080,Bay Of Shoals,4,South Australia,42750,Kangaroo Island (DC)
80,40205420000,40081,Beachport,4,South Australia,48340,Wattle Range (DC)
81,40082650000,40082,Beatty,4,South Australia,44210,Mid Murray (DC)
82,40202510000,40083,Beaufort,4,South Australia,48130,Wakefield (DC)
83,40020810000,40084,Beaumont,4,South Australia,40700,Burnside (C)
84,40082700000,40085,Beaumonts,4,South Australia,44210,Mid Murray (DC)
85,40072100000,40086,Bedford Park,4,South Australia,44060,Marion (C)
86,40102850000,40087,Beetaloo Valley,4,South Australia,45120,Northern Areas (DC)
87,40005820000,40088,Belair,4,South Australia,40120,Adelaide Hills (DC)
88,40102910000,40089,Belalie East,4,South Australia,45120,Northern Areas (DC)
89,40102890000,40090,Belalie North,4,South Australia,45120,Northern Areas (DC)
90,40084650000,40091,Bellevue Heights,4,South Australia,44340,Mitcham (C)
91,40215058500,40092,Beltana,4,South Australia,49399,Unincorporated SA
92,40215173700,40093,Belton,4,South Australia,45400,Orroroo/Carrieton (DC)
93,40011660000,40094,Belvidere,4,South Australia,40220,Alexandrina (DC)
94,40044490000,40095,Benbournie,4,South Australia,41140,Clare and Gilbert Valleys (DC)
95,40017290000,40096,Berri,4,South Australia,40520,Berri and Barmera (DC)
96,40015260000,40097,Bethany,4,South Australia,40310,Barossa (DC)
97,40064970000,40098,Bethel,4,South Australia,43650,Light (RegC)
98,40018050000,40099,Beulah Park,4,South Australia,40700,Burnside (C)
99,40034911000,40100,Beverley,4,South Australia,41060,Charles Sturt (C)
100,40134980000,40101,Bibaringa,4,South Australia,45680,Playford (C)
101,40083380000,40102,Big Bend,4,South Australia,44210,Mid Murray (DC)
102,40094770000,40103,Biggs Flat,4,South Australia,44550,Mount Barker (DC)
103,40068085000,40104,Billiatt,4,South Australia,43790,Loxton Waikerie (DC)
104,40102090000,40105,Binnum,4,South Australia,45090,Naracoorte and Lucindale (DC)
105,40061410000,40106,Birchmore,4,South Australia,42750,Kangaroo Island (DC)
106,40006790000,40107,Birdwood,4,South Australia,40120,Adelaide Hills (DC)
107,40144921000,40108,Birkenhead,4,South Australia,45890,Port Adelaide Enfield (C)
108,40197501000,40109,Black Forest,4,South Australia,47980,Unley (C)
109,40083371000,40110,Black Hill,4,South Australia,44210,Mid Murray (DC)
110,40215054400,40111,Black Point,4,South Australia,48830,Yorke Peninsula (DC)
111,40215287800,40112,Black Rock,4,South Australia,45400,Orroroo/Carrieton (DC)
112,40044310000,40113,Black Springs,4,South Australia,41140,Clare and Gilbert Valleys (DC)
113,40054050000,40114,Blackfellows Caves,4,South Australia,42250,Grant (DC)
114,40011360000,40115,Blackfellows Creek,4,South Australia,40220,Alexandrina (DC)
115,40062950000,40116,Blackford,4,South Australia,43360,Kingston (DC)
116,40084860000,40117,Blackwood,4,South Australia,44340,Mitcham (C)
117,40142270000,40118,Blair Athol,4,South Australia,45890,Port Adelaide Enfield (C)
118,40129460000,40119,Blakeview,4,South Australia,45680,Playford (C)
119,40092860000,40120,Blakiston,4,South Australia,44550,Mount Barker (DC)
120,40154360000,40121,Blanche Harbor,4,South Australia,46090,Port Augusta (C)
121,40082501000,40122,Blanchetown,4,South Australia,44210,Mid Murray (DC)
122,40011650000,40123,Bletchley,4,South Australia,40220,Alexandrina (DC)
123,40111050000,40124,Blewitt Springs,4,South Australia,45340,Onkaparinga (C)
124,40214938100,40125,Blinman,4,South Australia,49399,Unincorporated SA
125,40215029800,40126,Bluff Beach,4,South Australia,48830,Yorke Peninsula (DC)
126,40202600000,40127,Blyth,4,South Australia,48130,Wakefield (DC)
127,40163410000,40128,Boatswain Point,4,South Australia,46860,Robe (DC)
